RANK,GAME,WEIGHTED_POINTS
50,King's Quest III: To Heir Is Human,1.820000000
49,Dota 2,1.820408163
48,Angry Birds,1.820833333
47,Guitar Hero,1.821276596
46,Resident Evil 4,1.821739130
45,Gran Turismo 3: A-Spec,1.822222222
44,Super Smash Bros.,1.822727273
43,Call of Duty 2,1.823255814
42,BioShock,1.823809524
41,ESPN NFL 2K5,1.824390244
40,Pong,1.825000000
39,Castlevania,1.825641026
38,Portal 2,1.826315789
37,Braid,1.827027027
36,Fallout 3,1.827777778
35,Galaga,1.828571429
34,Red Dead Redemption,1.829411765
33,Super Mario Kart,1.830303030
32,Wolfenstein 3D,1.831250000
31,The Sims,1.832258065
30,Pokemon Red and Blue,1.833333333
29,Myst,1.834482759
28,Donkey Kong,1.835714286
27,Mortal Kombat,1.837037037
26,StarCraft II: Wings of Liberty,1.838461538
25,Halo: Combat Evolved,1.840000000
24,Final Fantasy VII,1.841666667
23,Microsoft Flight Simulator X,1.843478261
22,GoldenEye 007,1.845454545
21,Diablo II,1.847619048
20,Zork,1.850000000
19,Space Invaders,1.852631579
18,Rise of the Tomb Raider,1.855555556
17,Half-Life 2,1.858823529
16,Grand Theft Auto III,1.862500000
15,Counter-Strike,1.866666667
14,Quake,1.871428571
13,SimCity 2000,1.876923077
12,Final Fantasy VI,1.883333333
11,Sid Meier's Civilization IV,1.890909091
10,World of Warcraft,1.900000000
9,Oregon Trail,1.911111111
8,Super Mario Bros.,1.925000000
7,The Legend of Zelda,1.942857143
6,Minecraft,1.966666667
5,Ms. Pac-Man,2.000000000
4,Doom,2.050000000
3,The Legend of Zelda: Ocarina of Time,2.133333333
2,Super Mario 64,2.300000000
1,Tetris,2.800000000
,,
LIST_YEAR,,
2016,,
