RANK,GAME,WEIGHTED_POINTS
15,Dark Souls III,2.066666667
14,Shovel Knight,2.071428571
13,Overwatch,2.076923077
12,The Last of Us,2.083333333
11,Minecraft,2.090909091
10,Grand Theft Auto V,2.100000000
9,World of Warcraft,2.111111111
8,The Legend of Zelda: Breath of the Wild,2.125000000
7,Portal 2,2.142857143
6,Pokemon Red and Blue,2.166666667
5,Wii Sports,2.200000000
4,Street Fighter II,2.250000000
3,Tetris,2.333333333
2,Super Mario World,2.500000000
1,The Legend of Zelda: Ocarina of Time,3.000000000
,,
LIST_YEAR,,
2020,,
