RANK,GAME,WEIGHTED_POINTS
100,Journey,1.76
99,Crash Bandicoot,1.76010101
98,Homeworld,1.760204082
97,Super Mario Galaxy 2,1.760309278
96,Team Fortress 2,1.760416667
95,League of Legends,1.760526316
94,Super Metroid,1.760638298
93,S.T.A.L.K.E.R.: Shadow of Chernobyl,1.760752688
92,The Legend of Zelda: Skyward Sword,1.760869565
91,Duke Nukem 3D,1.760989011
90,Vampire The Masquerade: Bloodlines,1.761111111
89,Max Payne,1.761235955
88,Star Wars: Battlefront II (2005),1.761363636
87,Left 4 Dead,1.761494253
86,Heavy Rain,1.761627907
85,Super Smash Bros. Brawl,1.761764706
84,Grim Fandango,1.761904762
83,Championship Manager,1.762048193
82,Metal Gear Solid 4: Guns of the Patriots,1.762195122
81,Dragon Age: Origins,1.762345679
80,Okami,1.7625
79,System Shock 2,1.762658228
78,Counter-Strike,1.762820513
77,Age of Empires II: The Age of Kings,1.762987013
76,Chrono Trigger,1.763157895
75,Gears of War,1.763333333
74,Sid Meier's Civilization,1.763513514
73,Final Fantasy IX,1.76369863
72,Metroid Prime,1.763888889
71,Super Mario Galaxy,1.764084507
70,Dead Space,1.764285714
69,Uncharted 3: Drake's Deception,1.764492754
68,StarCraft,1.764705882
67,Elite,1.764925373
66,Planescape: Torment,1.765151515
65,Metal Gear Solid 2: Sons of Liberty,1.765384615
64,Silent Hill 2,1.765625
63,The Walking Dead,1.765873016
62,Baldur's Gate II: Shadows of Amn,1.766129032
61,The Elder Scrolls IV: Oblivion,1.766393443
60,Final Fantasy VIII,1.766666667
59,Kingdom Hearts,1.766949153
58,Warcraft III: Reign of Chaos,1.767241379
57,Portal,1.76754386
56,The Legend of Zelda: The Wind Waker,1.767857143
55,The Elder Scrolls III: Morrowind,1.768181818
54,Call of Juarez,1.768518519
53,Sonic the Hedgehog,1.768867925
52,Diablo II,1.769230769
51,Shenmue II,1.769607843
50,The Legend of Zelda: Majora's Mask,1.77
49,Resident Evil 2,1.770408163
48,BioShock Infinite,1.770833333
47,The Secret of Monkey Island,1.771276596
46,Tomb Raider,1.77173913
45,Final Fantasy X,1.772222222
44,Super Mario Bros.,1.772727273
43,Star Wars: Knights of the Old Republic,1.773255814
42,Resident Evil,1.773809524
41,Portal 2,1.774390244
40,Street Fighter II,1.775
39,Mario Kart 64,1.775641026
38,Tetris,1.776315789
37,Assassin's Creed II,1.777027027
36,Half-Life,1.777777778
35,The Legend of Zelda: A Link to the Past,1.778571429
33,Shadow of the Colossus,1.78030303
32,Doom,1.78125
31,Grand Theft Auto: Vice City,1.782258065
30,Mass Effect,1.783333333
29,Pokemon Red and Blue,1.784482759
29,Pokemon Yellow,1.784482759
28,Batman: Arkham Asylum,1.785714286
27,Resident Evil 4,1.787037037
26,Metal Gear Solid 3: Snake Eater,1.788461538
25,Fallout 3,1.79
24,Super Mario Kart,1.791666667
23,The Legend of Zelda: Twilight Princess,1.793478261
22,Uncharted 2: Among Thieves,1.795454545
21,Call of Duty 4: Modern Warfare,1.797619048
20,Super Mario World,1.8
19,Grand Theft Auto: San Andreas,1.802631579
18,Mass Effect 2,1.805555556
17,Deus Ex,1.808823529
16,Super Mario 64,1.8125
15,Half-Life 2,1.816666667
14,BioShock,1.821428571
13,Dark Souls,1.826923077
12,Batman: Arkham City,1.833333333
11,The Elder Scrolls V: Skyrim,1.840909091
10,Halo: Combat Evolved,1.85
9,Red Dead Redemption,1.861111111
8,Grand Theft Auto V,1.875
7,Shenmue,1.892857143
6,GoldenEye 007,1.916666667
5,Metal Gear Solid,1.95
4,Final Fantasy VII,2
3,World of Warcraft,2.083333333
2,The Legend of Zelda: Ocarina of Time,2.25
1,The Last of Us,2.75
,,
LIST_YEAR,,
2015,,
