RANK,GAME,WEIGHTED_POINTS
100,Worms Armageddon,1.71
99,Phantasy Star IV: The End of the Millennium,1.71010101
98,Phoenix Wright: Ace Attorney,1.710204082
97,Wild Arms,1.710309278
96,Pokemon Gold and Silver,1.710416667
95,Dead Space,1.710526316
94,Advance Wars: Dual Strike,1.710638298
93,Teenage Mutant Ninja Turtles: Turtles in Time,1.710752688
92,Fallout 3,1.710869565
91,Halo: Combat Evolved,1.710989011
90,Saints Row: The Third,1.711111111
89,Valkyrie Profile,1.711235955
88,Devil May Cry 3: Dante's Awakening,1.711363636
87,God of War III,1.711494253
86,Metal Gear Solid 3: Snake Eater,1.711627907
85,Child of Eden,1.711764706
84,Grandia II,1.711904762
83,The Beatles: Rock Band,1.712048193
82,Halo 3,1.712195122
81,Rayman Legends,1.712345679
80,Snatcher,1.7125
79,Dragon Quest VIII: Journey of the Cursed King,1.712658228
78,Kingdom Hearts II,1.712820513
77,Myst,1.712987013
76,Viewtiful Joe,1.713157895
75,Grim Fandango,1.713333333
74,Metal Gear Solid 2: Sons of Liberty,1.713513514
73,Jet Set Radio,1.71369863
72,Grand Theft Auto IV,1.713888889
71,Shenmue,1.714084507
70,Grand Theft Auto V,1.714285714
69,Amplitude,1.714492754
68,Street Fighter II: Championship Edition,1.714705882
67,Call of Duty 4: Modern Warfare,1.714925373
66,Beyond Good & Evil,1.715151515
65,Vagrant Story,1.715384615
64,Donkey Kong Country,1.715625
63,Silent Hill,1.715873016
62,Star Fox 64,1.716129032
61,You Don't Know Jack!,1.716393443
60,Deus Ex: Human Revolution,1.716666667
59,Hotline Miami,1.716949153
58,Conker's Bad Fur Day,1.717241379
57,Xenogears,1.71754386
56,Mass Effect 3,1.717857143
55,Marvel vs. Capcom 2: New Age of Heroes,1.718181818
54,Metal Gear Solid 4: Guns of the Patriots,1.718518519
53,Final Fantasy Tactics,1.718867925
52,Chrono Cross,1.719230769
51,The World Ends With You,1.719607843
50,Bayonetta,1.72
49,Grand Theft Auto: Vice City,1.720408163
48,Journey,1.720833333
47,Max Payne,1.721276596
46,Final Fantasy IX,1.72173913
45,Super Mario World 2: Yoshi's Island,1.722222222
44,Katamari Damacy,1.722727273
43,Super Mario 64,1.723255814
42,Castlevania: Symphony of the Night,1.723809524
41,Psychonauts,1.724390244
40,Uncharted 2: Among Thieves,1.725
39,Final Fantasy VI,1.725641026
38,Banjo-Kazooie,1.726315789
37,Eternal Darkness: Sanity's Requiem,1.727027027
36,Rock Band 3,1.727777778
35,Power Stone 2,1.728571429
34,Dance Dance Revolution,1.729411765
33,Super Smash Bros. Melee,1.73030303
32,Batman: Arkham City,1.73125
31,Tetris,1.732258065
30,The Walking Dead,1.733333333
29,Pokemon Red and Blue,1.734482759
28,Rez,1.735714286
27,Metroid Prime,1.737037037
26,Super Mario Bros.,1.738461538
25,Resident Evil 4,1.74
24,Ico,1.741666667
23,Final Fantasy X,1.743478261
22,SoulCalibur,1.745454545
21,EarthBound,1.747619048
20,The Legend of Zelda: A Link to the Past,1.75
19,Super Mario RPG: Legend of the Seven Stars,1.752631579
18,Portal,1.755555556
17,Super Mario World,1.758823529
16,Final Fantasy VII,1.7625
15,Silent Hill 2,1.766666667
14,Mass Effect 2,1.771428571
13,The Legend of Zelda: The Wind Waker,1.776923077
12,Okami,1.783333333
11,GoldenEye 007,1.790909091
10,BioShock,1.8
9,The Legend of Zelda: Majora's Mask,1.811111111
8,Braid,1.825
7,Portal 2,1.842857143
6,Half-Life 2,1.866666667
5,Shadow of the Colossus,1.9
4,Red Dead Redemption,1.95
3,Super Metroid,2.033333333
2,Chrono Trigger,2.2
1,The Legend of Zelda: Ocarina of Time,2.7
,,
LIST_YEAR,,
2014,,
