RANK,GAME,NOTES
15,Assassin's Creed Odyssey,
15,Astro Bot Rescue Mission,
15,Call of Duty: Black Ops 4,
15,Celeste,
15,Dead Cells,
15,Dragon Ball FighterZ,
15,Far: Lone Sails,
15,Firewall Zero Hour,
15,Florence,
15,Fortnite,
15,Forza Horizon 4,
15,Frostpunk,
15,God of War (2018),
15,Hollow Knight,
15,Into the Breach,
15,Nintendo Labo,
15,Laser League,
15,Minit,
15,Monster Boy and the Cursed Kingdom,
15,Monster Hunter: World,
15,Octopath Traveler,
15,"Pokemon Let's Go, Eevee and Pikachue",
15,Red Dead Redemption 2,
15,Return of the Obra Dinn,
15,Sea of Thieves,
15,Marvel's Spider-Man,
15,Subnautica,
15,Super Smash Bros. Ultimate,
15,Tetris Effect,
15,Thronebreaker: The Witcher Tales,
